match,best_edge,home_edge,draw_edge,away_edge
Leeds vs Wolves,0.0921696237882515,-0.16955350186794327,-0.0010356696206288984,0.0921696237882515
Aston Villa vs Sunderland,0.05941278853987103,-0.15707010947993705,0.01212478957661317,0.05941278853987103
West Ham vs Wolves,0.056744136052692795,-0.12245486705942649,-0.028498896831299247,0.056744136052692795
Man United vs Leeds,0.04432094868882425,-0.1457423942067565,-0.004119563758129274,0.04432094868882425
Man City vs Arsenal,0.03429008634743885,-0.0997116911763894,-0.03397402597066074,0.03429008634743885
Chelsea vs Man United,0.03177916059419389,0.03177916059419389,-0.05381801941866382,-0.09512083370245672
Nott'm Forest vs Aston Villa,0.02982936875842479,-0.0729115531043662,-0.03762231283729117,0.02982936875842479
Everton vs Liverpool,0.024242874362909728,-0.07734023792762684,-0.03172764586842569,0.024242874362909728
Nott'm Forest vs Burnley,0.02218156287088152,-0.12352505920031909,-0.02689265998593912,0.02218156287088152
Crystal Palace vs West Ham,0.019864300926685063,0.019864300926685063,-0.06104319223432084,-0.05366552863876095
Chelsea vs Man City,-0.0005117649220331422,-0.08849433737521734,-0.047119000399788696,-0.0005117649220331422
Brentford vs Fulham,-0.010555328236213968,-0.05162741462298265,-0.0399562568820587,-0.010555328236213968
Crystal Palace vs Newcastle,-0.01317711459056714,-0.03147415861423275,-0.044835088219253444,-0.01317711459056714
Burnley vs Brighton,-0.01708787102022133,-0.01708787102022133,-0.039715370440946224,-0.06545937878270547
Tottenham vs Brighton,-0.02105849877278526,-0.02105849877278526,-0.038874868923048866,-0.0516257834545889
Brentford vs Everton,-0.02322690281556805,-0.026998326195030176,-0.04234012251695901,-0.02322690281556805
Sunderland vs Tottenham,-0.024714137071313924,-0.024714137071313924,-0.02798865085229363,-0.035583989690380013
Arsenal vs Bournemouth,-0.028048609537022526,-0.09456477772245664,-0.03415082363447794,-0.028048609537022526
Liverpool vs Fulham,-0.03480782986243161,-0.0829832267695586,-0.03480782986243161,-0.041559223444716686
Newcastle vs Bournemouth,-0.03679370229667536,-0.046697382980616875,-0.039979652582635805,-0.03679370229667536
